"filename", "language", "JavaScript", "JSON", "PostCSS", "Markdown", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\DUMAN\Desktop\NoteAt\README.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 6, 13
"c:\Users\DUMAN\Desktop\NoteAt\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\DUMAN\Desktop\NoteAt\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\DUMAN\Desktop\NoteAt\package-lock.json", "JSON", 0, 3555, 0, 0, 0, 0, 0, 1, 3556
"c:\Users\DUMAN\Desktop\NoteAt\package.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 1, 32
"c:\Users\DUMAN\Desktop\NoteAt\postcss.config.cjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\DUMAN\Desktop\NoteAt\src\App.css", "PostCSS", 0, 0, 42, 0, 0, 0, 2, 5, 49
"c:\Users\DUMAN\Desktop\NoteAt\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 166, 0, 5, 16, 187
"c:\Users\DUMAN\Desktop\NoteAt\src\components\ContextMenu.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\DUMAN\Desktop\NoteAt\src\components\ContextMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\DUMAN\Desktop\NoteAt\src\components\EmptyNote.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\DUMAN\Desktop\NoteAt\src\components\EmptyNote.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 5, 24
"c:\Users\DUMAN\Desktop\NoteAt\src\components\Note.css", "PostCSS", 0, 0, 66, 0, 0, 0, 2, 6, 74
"c:\Users\DUMAN\Desktop\NoteAt\src\components\Note.jsx", "JavaScript JSX", 0, 0, 0, 0, 136, 0, 5, 31, 172
"c:\Users\DUMAN\Desktop\NoteAt\src\components\TextInput.css", "PostCSS", 0, 0, 29, 0, 0, 0, 1, 4, 34
"c:\Users\DUMAN\Desktop\NoteAt\src\components\TextInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 1, 6, 61
"c:\Users\DUMAN\Desktop\NoteAt\src\components\ToDoItem.css", "PostCSS", 0, 0, 65, 0, 0, 0, 0, 9, 74
"c:\Users\DUMAN\Desktop\NoteAt\src\components\ToDoItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 1, 3, 53
"c:\Users\DUMAN\Desktop\NoteAt\src\components\ToDoNote.css", "PostCSS", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\DUMAN\Desktop\NoteAt\src\components\ToDoNote.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 8, 56
"c:\Users\DUMAN\Desktop\NoteAt\src\components\Toolbar.css", "PostCSS", 0, 0, 135, 0, 0, 0, 11, 20, 166
"c:\Users\DUMAN\Desktop\NoteAt\src\components\Toolbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 182, 0, 5, 20, 207
"c:\Users\DUMAN\Desktop\NoteAt\src\components\noteTypes.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 3, 11
"c:\Users\DUMAN\Desktop\NoteAt\src\index.css", "PostCSS", 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\DUMAN\Desktop\NoteAt\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 2, 2, 11
"c:\Users\DUMAN\Desktop\NoteAt\tailwind.config.cjs", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\DUMAN\Desktop\NoteAt\vite.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 2, 13
"Total", "-", 51, 3586, 370, 7, 674, 13, 36, 162, 4899
